id	filename	md5	size	state
06fbec23-68bc-49ef-8a2a-3c5289d146e2	06fbec23-68bc-49ef-8a2a-3c5289d146e2/e343b3a9-713c-4448-b123-3f1cc4b25905.rna_seq.augmented_star_gene_counts.tsv	44627d099630f8d3faca7dbf4a018572	4231172	validated
0aabdda2-2fac-440e-ba01-1c9d23fbf387	0aabdda2-2fac-440e-ba01-1c9d23fbf387/5f2a6bc7-0621-465a-a112-7f2be2ce6a51.rna_seq.augmented_star_gene_counts.tsv	12fc41d8bb66900f976a1b1c033707f4	4233732	validated
115d0e2f-af7b-427e-a13a-b6635a64d253	115d0e2f-af7b-427e-a13a-b6635a64d253/9c8c7ba1-07bd-44c2-8c2f-e109532d2b08.rna_seq.augmented_star_gene_counts.tsv	53dca46683633c82df4634cf8dcccc7e	4258201	validated
1627ea47-3fa0-405b-970d-bfb1cae72ece	1627ea47-3fa0-405b-970d-bfb1cae72ece/29882704-6f18-4f45-8041-d77ccfc955cc.rna_seq.augmented_star_gene_counts.tsv	580bb963540360dd71518f9abbc7dc2b	4259698	validated
1a3c2108-067b-4bd4-b3e9-e0a938e5e706	1a3c2108-067b-4bd4-b3e9-e0a938e5e706/4a367f57-4ec4-42d1-9923-df07ab9b61ee.rna_seq.augmented_star_gene_counts.tsv	47f85bf7ebf0c62711e6c2d8d38cc24a	4246833	validated
1cf48022-6d8c-412c-804d-52e0e28560ec	1cf48022-6d8c-412c-804d-52e0e28560ec/d1ddfa24-312e-438e-8caa-dea5ebc867f6.rna_seq.augmented_star_gene_counts.tsv	b61e1406aaa9af87e113b39adf70ffdf	4248595	validated
2102681e-f055-40cf-944a-9dcc08ca4485	2102681e-f055-40cf-944a-9dcc08ca4485/536b7467-f306-49f6-99a7-57707472c09e.rna_seq.augmented_star_gene_counts.tsv	b59b889abc2c399f17c8f56c1578cbb9	4253045	validated
23505fd3-8a7f-40ea-82e7-b5b6f7557857	23505fd3-8a7f-40ea-82e7-b5b6f7557857/77eb6e00-3209-4c20-89e5-5dec2b477088.rna_seq.augmented_star_gene_counts.tsv	c65665eee4ed3e5a78e30054cfa49f7a	4234047	validated
2405376b-d8c6-4803-8269-43a4c9edafb6	2405376b-d8c6-4803-8269-43a4c9edafb6/b772e521-4112-40b9-9aba-20506ba55d80.rna_seq.augmented_star_gene_counts.tsv	1d78c9d4a7347dd3200aa0bedb9de4fa	4240900	validated
24e48951-3bc0-44ff-afb2-a44eac9cf537	24e48951-3bc0-44ff-afb2-a44eac9cf537/0364a08e-2940-4528-87c0-5351e6158713.rna_seq.augmented_star_gene_counts.tsv	0ff279190b32c4ff6e73fe55ef250331	4257355	validated
